lat,long,order
-14.205358,144.478319,287
-14.188383,144.487932,288
-14.166414,144.493769,289
-14.167413,144.519175,290
-14.183057,144.529818,291
-14.19038,144.537714,292
-14.200698,144.539087,293
-14.215342,144.552134,294
-14.229985,144.558657,295
-14.234977,144.578226,296
-14.247623,144.576166,297
-14.254278,144.589213,298
-14.262596,144.596079,299
-14.269917,144.593676,300
-14.310839,144.5796,301
-14.314498,144.584749,302
-14.330133,144.584406,303
-14.365722,144.595049,304
-14.359736,144.612215,305
-14.362729,144.626978,306
-14.349092,144.644488,307
-14.365057,144.651697,308
-14.371044,144.647921,309
-14.426245,144.621142,310
-14.464479,144.620455,311
-14.479771,144.619425,312
-14.493399,144.632128,313
-14.501044,144.646547,314
-14.508357,144.657877,315
-14.524642,144.671267,316
-14.553223,144.685686,317
-14.558207,144.708346,318
-14.55854,144.717615,319
-14.556213,144.735811,320
-14.548903,144.754694,321
-14.551229,144.76465,322
-14.543918,144.774264,323
-14.559536,144.77701,324
-14.591102,144.7801,325
-14.600073,144.812029,326
-14.606385,144.815462,327
-14.605721,144.828165,328
-14.612033,144.830912,329
-14.614691,144.853571,330
-14.611369,144.867304,331
-14.613362,144.875544,332
-14.609708,144.885843,333
-14.611369,144.89992,334
-14.614359,144.909876,335
-14.627647,144.915369,336
-14.639938,144.922922,337
-14.65256,144.921892,338
-14.66485,144.924982,339
-14.664185,144.941805,340
-14.672489,144.947641,341
-14.686438,144.951761,342
-14.706695,144.947298,343
-14.735252,144.952791,344
-14.740564,144.960688,345
-14.748532,144.970301,346
-14.750525,144.983347,347
-14.753181,144.998797,348
-14.753513,145.00841,349
-14.761813,145.002573,350
-14.784055,145.020083,351
-14.796337,145.024546,352
-14.797001,145.035875,353
-14.797665,145.050295,354
-14.798328,145.063341,355
-14.802644,145.081194,356
-14.807622,145.095957,357
-14.818244,145.1066,358
-14.826209,145.125483,359
-14.834838,145.143335,360
-14.839153,145.170458,361
-14.840148,145.195177,362
-14.838157,145.216807,363
-14.831519,145.228136,364
-14.833179,145.232943,365
-14.848777,145.223673,366
-14.878974,145.22024,367
-14.928408,145.265902,368
-14.940018,145.271738,369
-14.956935,145.283754,370
-14.957599,145.311564,371
-14.952955,145.31637,372
-14.95395,145.335253,373
-14.944331,145.341433,374
-14.944994,145.346926,375
-14.950301,145.351389,376
-14.958925,145.352419,377
-14.968212,145.350016,378
-14.981147,145.354822,379
-14.9838,145.350016,380
