"pop","gen","wing"
"Griffith","G2",3.80653110296343
"Griffith","G2",3.79514666544587
"Griffith","G2",3.70428303103742
"Griffith","G2",3.85165193855115
"Griffith","G2",3.83742057176893
"Griffith","G2",4.07379543125166
"Griffith","G2",3.87910616726647
"Griffith","G2",3.99437709845151
"Griffith","G2",3.83444403418271
"Griffith","G2",4.14181623175104
"Griffith","G2",3.8381054965748
"Griffith","G2",3.76270160062183
"Griffith","G2",4.02850870999364
"Griffith","G2",3.81991875739869
"Griffith","G2",3.72367510210689
"Griffith","G2",3.72227520268516
"Griffith","G2",3.85575879393382
"Griffith","G2",3.77595043268825
"Griffith","G2",3.87043916183307
"Griffith","G2",3.84023044498025
"Griffith","G2",3.85280917170467
"Griffith","G2",3.78308847810781
"Griffith","G2",3.84684552831885
"Griffith","G2",3.91631620248339
"Griffith","G2",3.91700108734276
"Griffith","G2",3.48793071215694
"Griffith","G2",3.91979020990285
"Griffith","G11",4.06937253137015
"Griffith","G11",3.94918129656572
"Griffith","G11",3.91092378805424
"Griffith","G11",3.94776096423922
"Griffith","G11",3.71826475226172
"Griffith","G11",4.07290750045137
"Griffith","G11",3.90743137332194
"Griffith","G11",4.06673224842464
"Griffith","G11",3.8731767002682
"Griffith","G11",3.84436601601052
"Griffith","G11",4.02419203778197
"Griffith","G11",4.05838713404794
"Griffith","G11",3.97381731368261
"Griffith","G11",3.99572782596712
"Griffith","G11",3.96863349970741
"Griffith","G11",3.78502816898998
"Griffith","G11",4.05950522732164
"Griffith","G11",3.95525641712482
"Griffith","G11",4.14890440422864
"Griffith","G11",4.10907957534185
"Griffith","G11",3.96699529715244
"Griffith","G11",3.96127330610358
"Griffith","G11",3.84685509203736
"Griffith","G11",4.21829780874124
"Griffith","G11",4.18133173236309
"Griffith","G11",3.98893942173309
"Mareeba","G2",3.43840081078634
"Mareeba","G2",3.78559574784358
"Mareeba","G2",3.57254486611763
"Mareeba","G2",3.66602752452804
"Mareeba","G2",3.55195210094759
"Mareeba","G2",3.58557877114547
"Mareeba","G2",3.33673932664925
"Mareeba","G2",3.89642483371067
"Mareeba","G2",3.66050570802239
"Mareeba","G2",3.73775238228189
"Mareeba","G2",3.64960831376186
"Mareeba","G2",3.82809986247839
"Mareeba","G2",3.34989211185339
"Mareeba","G2",3.7131150667701
"Mareeba","G2",3.57813866252238
"Mareeba","G2",3.66040277353793
"Mareeba","G2",3.5654840121493
"Mareeba","G2",3.47913613929275
"Mareeba","G2",3.52684449253614
"Mareeba","G2",3.67488189670567
"Mareeba","G2",3.7590319942669
"Mareeba","G2",3.39872178454967
"Mareeba","G2",3.78924644759304
"Mareeba","G2",3.73206455819072
"Mareeba","G2",3.71251419397354
"Mareeba","G2",3.76303470859984
"Mareeba","G2",3.7630821838613
"Mareeba","G2",3.36077462856636
"Mareeba","G2",3.45052509386481
"Mareeba","G2",3.54625519941494
"Mareeba","G2",3.47702079393291
"Mareeba","G2",3.60215876635111
"Mareeba","G2",3.38706016655132
"Mareeba","G2",3.45958564631271
"Mareeba","G2",3.75934223780016
"Mareeba","G2",3.72067860322702
"Mareeba","G2",3.63758063541835
"Mareeba","G2",3.49027469979076
"Mareeba","G2",3.76197031268883
